#label	score
EHD1	NaN
FBXW11	NaN
PASK	NaN
MAPK8IP3	NaN
TRIM22	NaN
MAP3K7IP1	NaN
SSR4	NaN
SORL1	NaN
GGA2	NaN
ENTH	NaN
TNKS	NaN
FNBP1	NaN
IHPK1	NaN
MTA2	NaN
RAB10	NaN
NT5C2	NaN
SCMH1	NaN
TMEM11	NaN
PGRMC1	NaN
CDC14B	NaN
SP140	NaN
ATF6	NaN
NFYC	NaN
PLA2G10	NaN
TRAK1	NaN
K-ALPHA-1	NaN
CARD8	NaN
UBE2E3	NaN
ZHX2	NaN
AXIN2	NaN
SEC13L1	NaN
NALP1	NaN
RAB11FIP2	NaN
U2AF2	NaN
TAPBP	NaN
ZNFN1A1	NaN
TFEB	NaN
TBC1D5	NaN
SRPK2	NaN
U2AF1L2	NaN
CBX3	NaN
STK38	NaN
EHMT2	NaN
G1P2	NaN
DCK	NaN
SLC9A5	NaN
GNG11	NaN
TNFRSF10C	NaN
IDH1	NaN
COPS5	NaN
STK24	NaN
STK25	NaN
TLOC1	NaN
ETV3	NaN
PPP2R2B	NaN
MRC1	NaN
C14orf1	1.15838
XPA	NaN
MAP4K1	NaN
TANK	NaN
CRADD	NaN
FAF1	NaN
NXF1	NaN
AKAP1	NaN
TOPBP1	NaN
CPSF6	NaN
RPS9	NaN
FASTK	NaN
IL1RL1	NaN
PTP4A2	NaN
TLK2	NaN
NEK6	NaN
FCHSD2	NaN
RP13-297E16.1	NaN
ZFHX1B	2.39367
RBX1	NaN
RAB11FIP3	NaN
TCERG1	NaN
CDC7	NaN
TIA1	NaN
NKTR	NaN
SF3A1	NaN
UTP14A	NaN
TRRAP	NaN
MALT1	NaN
SEPT9	NaN
PGK1	NaN
CCL25	NaN
FZD3	NaN
TYRP1	NaN
TGFBR3	NaN
PLK4	NaN
NFAT5	NaN
RGS9	NaN
RGS11	NaN
TNFSF13B	NaN
GPR17	NaN
CUGBP1	NaN
FUBP1	NaN
KHDRBS1	NaN
KHDRBS3	NaN
PSMF1	NaN
TXN	NaN
MAP2K5	NaN
AURKB	NaN
PAICS	NaN
UMPS	NaN
SMC4L1	NaN
C6orf108	NaN
RAB7	NaN
CCL21	NaN
SPTLC2	NaN
SLC1A1	2.34187
RABIF	NaN
PDCD5	NaN
PTPN4	NaN
G1P3	NaN
SOD3	NaN
PIAS3	NaN
NCOA2	NaN
MYO9B	NaN
STX8	NaN
MALL	NaN
NUP214	NaN
RNF8	NaN
TIMM44	NaN
MERTK	NaN
TNK2	NaN
ABCB4	NaN
ABCB1	NaN
ROS1	NaN
TEAD4	NaN
CEPT1	NaN
SOCS6	NaN
LAPTM4A	NaN
TUBG1	NaN
CCNK	NaN
TRAP1	NaN
KIAA0103	NaN
RTN3	NaN
UGCG	NaN
UNG2	NaN
SHMT1	NaN
SH2D3C	NaN
CDK2AP1	NaN
WARS	NaN
DEK	NaN
PTPN9	NaN
PSME3	NaN
THOC4	NaN
DLG5	NaN
ZNF197	NaN
PSTPIP1	NaN
CHAF1A	NaN
SPG7	NaN
LAG3	NaN
TRIP10	NaN
TBC1D4	NaN
LRPPRC	NaN
DGKZ	NaN
BST2	NaN
FEM1B	NaN
LIMD1	NaN
LTA4H	NaN
POM121	NaN
COX17	NaN
UBA2	NaN
RANBP9	-4.7679
ENTPD1	2.24248
PWP2H	NaN
BUB3	NaN
XRCC1	NaN
BCL2L11	NaN
PDCD6	NaN
IKBKE	NaN
ZBTB33	NaN
TCL1A	NaN
CASP8AP2	NaN
OXSR1	NaN
NUP153	NaN
NR0B2	NaN
CRSP3	NaN
PARP4	NaN
LPXN	NaN
TLK1	NaN
GSTO1	NaN
PDCD8	NaN
GRAP2	NaN
FGD1	NaN
ARHGEF11	NaN
UBE2L6	NaN
BAG3	NaN
PTPRN2	NaN
HDAC9	NaN
RFXANK	NaN
NCOR2	NaN
TRAM2	3.94415
UBE3C	NaN
TP53BP1	NaN
GCC2	NaN
PPM1F	NaN
FEZ1	NaN
UBE1L	NaN
CUL2	NaN
NCOR1	NaN
PDCD2	NaN
PRDX6	NaN
NR1D1	NaN
PIAS2	NaN
PPAP2B	NaN
SPOP	NaN
SCAMP1	NaN
GDF15	NaN
IQGAP1	NaN
ATG12	NaN
EIF4EBP3	NaN
GFI1	NaN
CD180	NaN
FUBP3	NaN
HGS	NaN
TCEB3	10.0277
ZNF265	NaN
TOP3A	NaN
TOP3B	NaN
TIMP1	NaN
ST13	NaN
RBBP6	NaN
ATP6V1B1	NaN
EFTUD2	NaN
STX16	NaN
BTG2	NaN
GALT	NaN
COPS3	NaN
COPS2	NaN
DNAJA3	NaN
RGS4	NaN
PSCD1	NaN
STK17A	NaN
STK17B	NaN
MAPKAPK2	NaN
LSP1	NaN
GEM	NaN
SPP1	NaN
SCYE1	NaN
RARS	NaN
TCF12	NaN
RPS6KA2	NaN
CLCN5	NaN
CFLAR	NaN
RENBP	NaN
DDEF2	NaN
OSM	NaN
PCSK7	NaN
PMS2	NaN
TADA2L	NaN
ARHGEF1	NaN
AP1G2	NaN
SMC1L1	NaN
LATS1	NaN
EBI2	NaN
DDX18	NaN
MYCN	NaN
IFI35	NaN
USP8	NaN
STAM	NaN
ASH2L	NaN
EIF2S2	NaN
UBE2B	NaN
ANGPTL1	NaN
STAT4	NaN
SMARCC2	NaN
SOCS2	NaN
IRS2	NaN
MAP3K14	NaN
F2RL2	NaN
NOL3	NaN
TNFRSF18	NaN
PRPF4B	NaN
LAPTM5	3.54721
BCL10	NaN
AP1S2	NaN
CCNA1	NaN
TAX1BP1	NaN
SYNJ2	NaN
SLC29A1	NaN
PCAF	NaN
TSC22D1	NaN
MAP3K12	NaN
HDAC3	NaN
ARID4A	NaN
NRP1	NaN
RSN	NaN
PCTK3	NaN
TNFRSF10B	NaN
FADD	NaN
TNFRSF10D	NaN
PEA15	NaN
TNFSF13	NaN
TNFRSF14	NaN
TNFSF10	NaN
TNFRSF25	NaN
RIPK1	NaN
YY1	NaN
TRADD	NaN
STX11	NaN
EIF3S9	NaN
SOCS1	NaN
PIK3R3	NaN
POLH	NaN
NCOA1	NaN
SMO	NaN
TP73L	NaN
PIP5K1A	NaN
PLA2G4C	NaN
TNFSF11	NaN
PRKRA	NaN
MADD	NaN
TTN	NaN
PIAS1	-1.54246
BHLHB2	NaN
MAPK11	NaN
RAB2	NaN
SUV39H2	NaN
CAMK1	NaN
CUL5	NaN
RALA	NaN
DGKD	NaN
IFITM1	NaN
BAT5	NaN
IKBKAP	NaN
IKBKG	NaN
VTN	NaN
PGAM1	NaN
PPP2R5D	NaN
